"price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","view","condition","grade","sqft_above","yr_built","yr_renovated","zipcode","lat","long","sqft_living15","sqft_lot15"
580500,3,2.5,2320,3980,2,0,0,3,8,2320,2003,0,98027,47.5391,-122.07,2580,3980
410000,3,1,1410,5060,1,0,0,4,7,910,1956,0,98133,47.7073,-122.34,1130,5693
305000,3,1.75,1650,9480,1,0,0,3,7,1220,1977,0,98034,47.726,-122.191,1540,8400
210000,2,1,830,6000,1,0,0,3,6,830,1940,0,98126,47.5308,-122.376,830,4960
592500,2,2,1420,9191,1.5,0,2,5,7,1420,1928,0,98115,47.6979,-122.32,1420,6816
255000,3,1,1230,10170,1,0,0,3,7,1230,1979,0,98045,47.4437,-121.772,1380,10098
2900000,4,3.25,5050,20100,1.5,0,2,3,11,4750,1982,2008,98004,47.6312,-122.223,3890,20060
389999,4,2.5,1890,15770,2,0,0,4,7,1890,1968,0,98166,47.4281,-122.343,2410,15256
505000,3,2,1260,5460,1,0,0,3,7,1260,1972,0,98034,47.7355,-122.18,1510,5460
578000,4,2.5,3140,9225,1,0,2,5,9,1770,1966,0,98055,47.4904,-122.226,2460,9600
1197350,4,2.5,2770,7800,2,0,0,3,10,2770,1999,0,98033,47.684,-122.205,2720,10000
204000,3,1,1040,7405,1,0,0,4,6,1040,1971,0,98010,47.3105,-122.021,1580,7405
315000,4,2.75,2300,18360,1,0,0,4,7,1560,1979,0,98058,47.4518,-122.16,1870,9588
399950,4,2,2420,31465,1,0,0,3,9,2420,1984,0,98092,47.3131,-122.115,2560,32186
240000,3,1.75,1760,6500,1,0,0,3,7,1150,1987,0,98038,47.3647,-122.05,1760,8125
459000,2,1.75,1170,4887,1,0,0,3,6,1020,1929,0,98117,47.695,-122.366,1170,5441
327000,5,2.75,2400,8050,2,0,0,3,8,2400,1998,0,98092,47.2635,-122.209,2400,8050
166600,3,1.75,1150,8690,1,0,0,4,7,1150,1977,0,98042,47.3729,-122.115,1330,7040
2e+05,1,1.5,1010,1157,2,0,0,3,8,950,2007,0,98126,47.5492,-122.372,1360,1688
429000,2,1,1080,3600,1,0,0,3,7,1080,1922,0,98122,47.6078,-122.291,2230,4500
425000,3,1.75,1560,9452,1,0,0,4,8,1560,1974,0,98056,47.5197,-122.18,2200,9985
510000,3,1.75,1490,3800,1,0,0,3,6,700,1913,0,98118,47.5554,-122.27,2180,4000
457000,4,3,2800,7845,2,0,0,3,8,2800,2002,0,98038,47.3544,-122.013,2800,6977
350000,4,2.5,2530,10155,2,0,0,3,8,2530,1998,0,98042,47.351,-122.146,2330,7205
321000,5,2.75,3030,7000,1,0,0,4,7,1540,1978,0,98032,47.3661,-122.28,1790,7330
5300000,6,6,7390,24829,2,1,4,4,12,5000,1991,0,98040,47.5631,-122.21,4320,24619
372000,4,1.75,1960,9300,1,0,0,5,7,1340,1979,0,98045,47.4487,-121.772,1500,9752
490000,2,1,880,6380,1,0,0,3,7,880,1938,1994,98115,47.6924,-122.322,1340,6380
1062500,4,4,5320,20041,2,0,0,3,11,5320,2003,0,98075,47.5852,-121.966,4640,17268
264950,3,1.5,1470,11599,1,0,0,3,7,1070,1967,0,98030,47.3632,-122.188,1580,9760
495000,2,1,970,4284,1,0,0,3,7,970,1905,0,98103,47.6667,-122.333,2050,4284
499950,3,3.5,1820,1991,2,0,0,3,8,1430,2014,0,98144,47.596,-122.298,1550,1460
270000,3,2.25,2080,4252,1.5,0,0,3,7,1550,2003,0,98042,47.4203,-122.157,2080,2275
265900,3,2,1180,7793,1,0,0,4,7,1180,1992,0,98031,47.4053,-122.181,1720,7793
434500,3,1.75,1650,7965,1,0,0,4,7,1650,1967,0,98034,47.7335,-122.193,1560,7350
339000,3,2.25,2090,10120,1,0,0,4,7,1290,1979,0,98058,47.4654,-122.174,1820,7983
219900,4,1.5,1120,5427,1,0,0,3,6,1120,1969,2014,98042,47.3628,-122.087,1150,5304
445000,5,3,3880,7180,2,0,0,3,7,3880,2004,0,98056,47.4797,-122.179,2160,4793
503000,4,2.5,2940,156988,2,0,2,3,9,1870,1996,0,98014,47.6214,-121.946,2940,71002
389950,2,1,820,4234,1,0,1,3,6,820,1951,0,98136,47.5294,-122.386,1550,4236
930000,4,3,2900,10400,1,0,3,5,8,1530,1959,0,98008,47.5854,-122.114,2820,10400
302000,4,1.75,1530,17664,1.5,0,0,3,7,1530,1968,0,98058,47.4549,-122.155,1530,11625
605000,3,2,2660,4500,1,0,0,4,7,1330,1922,0,98199,47.6391,-122.403,1790,5000
439900,2,2,1410,12282,1.5,0,0,5,8,1410,1909,1988,98024,47.5242,-121.926,1410,8931
8e+05,4,2,2130,2800,1,0,0,5,7,1070,1922,0,98103,47.6545,-122.333,1990,3990
445000,4,1.75,2430,13211,1.5,0,0,4,7,2430,1909,1978,98024,47.5245,-121.926,1330,10500
278000,3,1,860,7632,1,0,0,3,6,860,1920,0,98166,47.4623,-122.345,890,7632
603000,3,2.25,1700,2800,2,0,0,5,7,1150,1926,0,98115,47.6819,-122.311,1500,3400
1600000,3,2.5,3160,12824,1,0,2,4,9,1820,1966,0,98004,47.6151,-122.216,3390,11985
965000,4,2.5,4070,57587,2,0,0,3,10,4070,1989,0,98052,47.6908,-122.052,3890,35960
406000,3,1,960,5264,1,0,0,3,7,960,1953,0,98115,47.6805,-122.301,1140,5150
620000,4,2.5,2580,7465,2,0,0,3,8,2580,1993,0,98074,47.6319,-122.022,2350,7596
561000,4,2.5,2570,5250,2,0,0,3,8,2570,1990,0,98029,47.5763,-122,2260,5392
726000,5,3,2970,10335,2,0,0,3,9,2970,2000,0,98075,47.598,-122.019,2970,10335
172000,3,1,1350,9680,1,0,0,4,7,820,1959,0,98023,47.3274,-122.346,1320,9225
212000,3,1.5,1010,10000,1,0,0,4,7,1010,1973,0,98003,47.2881,-122.294,2420,34637
638500,4,2.5,1980,6568,2,0,0,3,8,1980,2004,0,98052,47.704,-122.101,2310,6496
280000,2,1,1260,4800,1,0,0,3,6,1100,1947,0,98126,47.5196,-122.376,1260,2435
450000,4,1.75,1980,7350,1,0,0,3,7,1430,1973,0,98034,47.7088,-122.202,1870,7920
149900,2,1.75,1090,1950,1,0,0,4,8,1090,1982,0,98198,47.3782,-122.319,1360,3426
425000,4,1.75,1820,6000,1,0,0,3,7,930,1942,0,98115,47.6872,-122.296,1590,6000
746000,4,2.75,2110,8190,1.5,0,0,5,8,2110,1966,0,98008,47.6269,-122.1,2420,8400
362000,1,1,890,211576,1.5,0,0,3,7,890,1996,0,98019,47.7216,-121.883,1670,217364
525000,3,2.5,2200,4544,2,0,0,3,8,2200,2000,0,98065,47.5319,-121.867,2400,5431
387500,6,2,2400,7684,1,0,0,3,6,1200,1932,2005,98028,47.7705,-122.269,1290,9800
228000,2,1,1060,6100,1,0,0,3,6,1060,1951,0,98125,47.7317,-122.296,1550,9150
775000,4,3.25,4100,241322,2,0,0,3,9,2500,1981,0,98072,47.7302,-122.096,3770,87821
